id,severity,category,file,line,symptom,root_cause_id,impact,fix_action,status
FL-0001,P3,coverage,".env.local",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0002,P3,coverage,".gitignore",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0003,P3,coverage,".nvmrc",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0004,P3,coverage,"README.md",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0005,P3,coverage,"app/favicon.ico",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0006,P3,coverage,"app/globals.css",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0007,P3,coverage,"app/layout.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0008,P3,coverage,"app/page.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0009,P3,coverage,"app/projects/fraud-radar/FraudClient.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0010,P3,coverage,"app/projects/fraud-radar/FraudInteractive.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0011,P3,coverage,"app/projects/fraud-radar/FraudShell.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0012,P3,coverage,"app/projects/fraud-radar/Hero.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0013,P3,coverage,"app/projects/fraud-radar/InteractiveSection.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0014,P3,coverage,"app/projects/fraud-radar/error.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0015,P3,coverage,"app/projects/fraud-radar/layout.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0016,P3,coverage,"app/projects/fraud-radar/loading.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0017,P3,coverage,"app/projects/fraud-radar/page.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0018,P3,coverage,"app/projects/loading.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0019,P3,coverage,"app/projects/netflix-roi/Hero.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0020,P3,coverage,"app/projects/netflix-roi/InteractiveSection.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0021,P3,coverage,"app/projects/netflix-roi/NetflixClient.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0022,P3,coverage,"app/projects/netflix-roi/NetflixInteractive.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0023,P3,coverage,"app/projects/netflix-roi/NetflixShell.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0024,P3,coverage,"app/projects/netflix-roi/error.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0025,P3,coverage,"app/projects/netflix-roi/layout.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0026,P3,coverage,"app/projects/netflix-roi/loading.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0027,P3,coverage,"app/projects/netflix-roi/page.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0028,P3,coverage,"app/projects/ord-lga-price-war/Hero.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0029,P3,coverage,"app/projects/ord-lga-price-war/InteractiveSection.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0030,P3,coverage,"app/projects/ord-lga-price-war/OrdLgaInteractive.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0031,P3,coverage,"app/projects/ord-lga-price-war/OrdLgaShell.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0032,P3,coverage,"app/projects/ord-lga-price-war/PriceWarClient.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0033,P3,coverage,"app/projects/ord-lga-price-war/error.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0034,P3,coverage,"app/projects/ord-lga-price-war/layout.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0035,P3,coverage,"app/projects/ord-lga-price-war/loading.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0036,P3,coverage,"app/projects/ord-lga-price-war/page.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0037,P3,coverage,"app/projects/page.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0038,P3,coverage,"app/projects/starbucks-pivot/Hero.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0039,P3,coverage,"app/projects/starbucks-pivot/InteractiveSection.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0040,P3,coverage,"app/projects/starbucks-pivot/StarbucksClient.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0041,P3,coverage,"app/projects/starbucks-pivot/StarbucksInteractive.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0042,P3,coverage,"app/projects/starbucks-pivot/StarbucksShell.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0043,P3,coverage,"app/projects/starbucks-pivot/error.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0044,P3,coverage,"app/projects/starbucks-pivot/layout.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0045,P3,coverage,"app/projects/starbucks-pivot/loading.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0046,P3,coverage,"app/projects/starbucks-pivot/page.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0047,P3,coverage,"app/projects/target-shrink/Hero.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0048,P3,coverage,"app/projects/target-shrink/InteractiveSection.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0049,P3,coverage,"app/projects/target-shrink/ShrinkClient.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0050,P3,coverage,"app/projects/target-shrink/ShrinkInteractive.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0051,P3,coverage,"app/projects/target-shrink/ShrinkShell.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0052,P3,coverage,"app/projects/target-shrink/error.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0053,P3,coverage,"app/projects/target-shrink/layout.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0054,P3,coverage,"app/projects/target-shrink/loading.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0055,P3,coverage,"app/projects/target-shrink/page.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0056,P3,coverage,"app/projects/tesla-nacs/EvClient.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0057,P3,coverage,"app/projects/tesla-nacs/EvInteractive.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0058,P3,coverage,"app/projects/tesla-nacs/EvShell.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0059,P3,coverage,"app/projects/tesla-nacs/Hero.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0060,P3,coverage,"app/projects/tesla-nacs/InteractiveSection.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0061,P3,coverage,"app/projects/tesla-nacs/error.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0062,P3,coverage,"app/projects/tesla-nacs/layout.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0063,P3,coverage,"app/projects/tesla-nacs/loading.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0064,P3,coverage,"app/projects/tesla-nacs/page.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0065,P3,coverage,"app/resume/page.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0066,P3,coverage,"components/home/DeferredPortfolioPulse.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0067,P3,coverage,"components/home/DeferredSignalWall.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0068,P3,coverage,"components/home/PortfolioPulse.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0069,P3,coverage,"components/home/SignalWall.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0070,P3,coverage,"components/layout/ProjectFrame.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0071,P3,coverage,"components/motion/Reveal.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0072,P3,coverage,"components/motion/RouteReveal.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0073,P3,coverage,"components/perf/LazyInteractiveGate.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0074,P3,coverage,"components/perf/PerfDiagnostics.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0075,P3,coverage,"components/perf/PerfDiagnosticsBoundary.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0076,P3,coverage,"components/projects/ProjectBackdrop.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0077,P3,coverage,"components/projects/ProjectCard.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0078,P3,coverage,"components/projects/ProjectHeader.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0079,P3,coverage,"components/story/AnnotationStrip.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0080,P3,coverage,"components/story/AssumptionsDrawer.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0081,P3,coverage,"components/story/BlufPanel.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0082,P3,coverage,"components/story/DataBadge.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0083,P3,coverage,"components/story/DecisionConsole.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0084,P3,coverage,"components/story/DecisionEvidencePanel.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0085,P3,coverage,"components/story/EvidenceRail.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0086,P3,coverage,"components/story/NarrativeCallouts.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0087,P3,coverage,"components/story/NarrativeStrip.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0088,P3,coverage,"components/story/ProvenanceTooltip.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0089,P3,coverage,"components/story/RealSignalsPanel.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0090,P3,coverage,"components/story/StoryChapterShell.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0091,P3,coverage,"components/story/UnavailablePanel.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0092,P3,coverage,"components/ui/Chip.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0093,P3,coverage,"components/ui/DevEnvBanner.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0094,P3,coverage,"components/ui/KpiCard.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0095,P3,coverage,"components/ui/RouteError.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0096,P3,coverage,"components/ui/RouteLoading.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0097,P3,coverage,"components/ui/SectionHeading.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0098,P3,coverage,"components/ui/SiteFooter.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0099,P3,coverage,"components/ui/Slider.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0100,P3,coverage,"components/ui/TopNav.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0101,P3,coverage,"components/viz/AnnotatedVizFrame.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0102,P3,coverage,"components/viz/DeckMap.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0103,P3,coverage,"components/viz/EChart.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0104,P3,coverage,"components/viz/ModuleSparkline.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0105,P3,coverage,"components/viz/VizErrorBoundary.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0106,P3,coverage,"components/viz/ord-lga/ActualVsAlgoTimeline.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0107,P3,coverage,"components/viz/ord-lga/DecisionMemoPanel.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0108,P3,coverage,"components/viz/ord-lga/MarketPulseHero.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0109,P3,coverage,"components/viz/ord-lga/NashResponseSim.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0110,P3,coverage,"components/viz/ord-lga/RegretHeatLattice.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0111,P3,coverage,"components/viz/ord-lga/ShockEventStrip.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0112,P3,coverage,"components/viz/ord-lga/transforms.ts",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0113,P3,coverage,"components/viz/ord-lga/useOrdLgaScrollytelling.ts",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0114,P3,coverage,"data/cards/README.md",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0115,P3,coverage,"data/cards/airline.md",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0116,P3,coverage,"data/cards/ev.md",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0117,P3,coverage,"data/cards/fraud.md",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0118,P3,coverage,"data/cards/netflix.md",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0119,P3,coverage,"data/cards/shrink.md",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0120,P3,coverage,"data/cards/starbucks.md",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0121,P3,coverage,"docs/audit/00-exec-summary.md",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0122,P3,coverage,"docs/audit/01-root-cause-tree.md",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0123,P3,coverage,"docs/audit/02-symptom-vs-root-matrix.md",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0124,P3,coverage,"docs/audit/03-file-line-ledger.csv",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0125,P3,coverage,"docs/audit/04-remediation-roadmap.md",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0126,P3,coverage,"docs/audit/05-qa-gates.md",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0127,P3,coverage,"eslint.config.mjs",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0128,P3,coverage,"lib/cn.ts",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0129,P3,coverage,"lib/data/useValidatedJson.ts",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0130,P3,coverage,"lib/metrics/finance.ts",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0131,P3,coverage,"lib/metrics/format.ts",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0132,P3,coverage,"lib/metrics/math.ts",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0133,P3,coverage,"lib/projects/catalog.ts",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0134,P3,coverage,"lib/resume.ts",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0135,P3,coverage,"lib/schemas/airline.ts",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0136,P3,coverage,"lib/schemas/common.ts",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0137,P3,coverage,"lib/schemas/ev.ts",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0138,P3,coverage,"lib/schemas/fraud.ts",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0139,P3,coverage,"lib/schemas/netflix.ts",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0140,P3,coverage,"lib/schemas/shrink.ts",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0141,P3,coverage,"lib/schemas/starbucks.ts",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0142,P3,coverage,"lib/server/loadPublicJson.ts",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0143,P3,coverage,"lib/server/payloads.ts",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0144,P3,coverage,"lib/site.ts",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0145,P3,coverage,"lib/viewmodels/airline.ts",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0146,P3,coverage,"lib/viewmodels/ev.ts",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0147,P3,coverage,"lib/viewmodels/fraud.ts",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0148,P3,coverage,"lib/viewmodels/netflix.ts",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0149,P3,coverage,"lib/viewmodels/shrink.ts",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0150,P3,coverage,"lib/viewmodels/starbucks.ts",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0151,P3,coverage,"next-env.d.ts",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0152,P3,coverage,"next.config.ts",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0153,P3,coverage,"package-lock.json",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0154,P3,coverage,"package.json",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0155,P3,coverage,"playwright.config.ts",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0156,P3,coverage,"postcss.config.mjs",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0157,P3,coverage,"public/assets/generic/hero.svg",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0158,P3,coverage,"public/data/_health.json",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0159,P3,coverage,"public/data/_runs/real-20260216213809.json",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0160,P3,coverage,"public/data/_runs/real-20260216224231.json",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0161,P3,coverage,"public/data/_runs/real-20260217003712.json",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0162,P3,coverage,"public/data/_runs/real-20260217003901.json",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0163,P3,coverage,"public/data/_runs/real-20260217012619.json",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0164,P3,coverage,"public/data/_runs/real-20260217015845.json",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0165,P3,coverage,"public/data/_runs/real-20260217160617.json",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0166,P3,coverage,"public/data/_runs/real-20260217183820.json",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0167,P3,coverage,"public/data/_runs/real-20260219033714.json",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0168,P3,coverage,"public/data/_runs/real-20260219035136.json",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0169,P3,coverage,"public/data/_runs/real-20260219035533.json",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0170,P3,coverage,"public/data/_runs/real-20260219035631.json",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0171,P3,coverage,"public/data/_runs/real-20260219060057.json",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0172,P3,coverage,"public/data/airline/meta.json",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
